Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.06     15.25     0.01 15649918     0.00     0.00  TermCellStoreInsert
  0.06     15.26     0.01 12810711     0.00     0.00  EqnIsTrue
  0.06     15.27     0.01 10648481     0.00     0.00  pdtree_verify_node_constr
  0.06     15.28     0.01  7899706     0.00     0.00  GetReturnSort
  0.06     15.29     0.01  5216187     0.00     0.00  PDTreeFindNextIndexedLeaf
  0.06     15.30     0.01  4759493     0.00     0.00  EqnFree
  0.06     15.31     0.01  4249576     0.00     0.00  PQueueIncIndex
  0.06     15.32     0.01  4182018     0.00     0.00  PListDelete
  0.06     15.33     0.01  3917819     0.00     0.00  EqnSymTypeWeight
  0.06     15.34     0.01  3221691     0.00     0.00  force_arg_sharing
  0.06     15.35     0.01  3221672     0.00     0.00  TypeTopFree
  0.06     15.36     0.01  3221658     0.00     0.00  SigDeclareFinalType
  0.06     15.37     0.01  3121325     0.00     0.00  HCBClauseSetDeleteBadClauses
  0.06     15.38     0.01  2609727     0.00     0.00  FindSimplifyingUnit
  0.06     15.39     0.01  2546057     0.00     0.00  PDTreePrint
  0.06     15.40     0.01  1789825     0.00     0.00  DerivationPrintNoFrame
  0.06     15.41     0.01  1762426     0.00     0.00  EqnListSetProp
  0.06     15.42     0.01  1745276     0.00     0.00  PTreeTraverseNext
  0.06     15.43     0.01  1481126     0.00     0.00  fpindex_alternative
  0.06     15.44     0.01  1331474     0.00     0.00  EqnListRemoveResolved
  0.06     15.45     0.01  1234270     0.00     0.00  GenericFunWeightCompute
  0.06     15.46     0.01  1234270     0.00     0.00  StaggeredWeightCompute
  0.06     15.47     0.01  1203289     0.00     0.00  ComputeAllEqualityFactors
  0.06     15.48     0.01  1199625     0.00     0.00  fpindex_alternative_ref
  0.06     15.49     0.01   964562     0.00     0.00  ClausePosGetSide
  0.06     15.50     0.01   714949     0.00     0.00  UnpackTermPos
  0.06     15.51     0.01   693306     0.00     0.00  ForwardModifyClause
  0.06     15.52     0.01   687564     0.00     0.00  term_subterm_rewrite
  0.06     15.53     0.01   658222     0.00     0.00  DocClauseQuote
  0.06     15.54     0.01   636317     0.00     0.00  EqnListAppend
  0.06     15.55     0.01   631934     0.00     0.00  DoLiteralSelection
  0.06     15.56     0.01   630959     0.00     0.00  GCCollect
  0.06     15.57     0.01   617135     0.00     0.00  ClauseSymTypeWeight
  0.06     15.58     0.01   617135     0.00     0.00  SymTypeWeightCompute
  0.06     15.59     0.01   581279     0.00     0.00  EqnListQueryPropNumber
  0.06     15.60     0.01   506885     0.00     0.00  CmpSubtermCells
  0.06     15.61     0.01   496696     0.00     0.00  PDArrayEnlarge
  0.06     15.62     0.01   495876     0.00     0.00  PDIntArrayAlloc
  0.06     15.63     0.01   495868     0.00     0.00  generic_uniq_selection
  0.06     15.64     0.01   495868     0.00     0.00  pos_pred_dist_array_compute
  0.06     15.65     0.01   417054     0.00     0.00  FreqVectorInitialize
  0.06     15.66     0.01   344284     0.00     0.00  FIndexAddPLFormulaSet
  0.06     15.67     0.01   341604     0.00     0.00  SubstComputeMgu
  0.06     15.68     0.01   329749     0.00     0.00  IndexFPPrint
  0.06     15.69     0.01   277619     0.00     0.00  DStrAppendChar
  0.06     15.70     0.01   216465     0.00     0.00  CmpClauseTPosCells
  0.06     15.71     0.01   203374     0.00     0.00  compute_pos_from_pm_term
  0.06     15.72     0.01   171375     0.00     0.00  FPTreeInsert
  0.06     15.73     0.01   139035     0.00     0.00  VarFreqVectorCompute
  0.06     15.74     0.01   112567     0.00     0.00  compute_pos_into_pm_term
  0.06     15.75     0.01    65396     0.00     0.00  ClauseIsOrphaned
  0.06     15.76     0.01    54492     0.00     0.00  ForwardContractClause
  0.06     15.77     0.01    54452     0.00     0.00  cleanup_unprocessed_clauses
  0.06     15.78     0.01    52672     0.00     0.00  fp_index_rek_find_unif
  0.06     15.79     0.01    40766     0.00     0.00  TermAddRWLink
  0.06     15.80     0.01    15077     0.00     0.00  generate_new_clauses
  0.06     15.81     0.01     2105     0.00     0.00  TermCellStoreDeleteRWLinks
  0.06     15.82     0.01      214     0.00     0.00  TermCellStoreGCSweep
  0.06     15.83     0.01        1     0.01     0.01  resize_vb
  0.06     15.84     0.01                             TermTreeFind
  0.06     15.85     0.01                             kbo6cmp
  0.03     15.86     0.01  1855462     0.00     0.00  ClauseSetExtractFirst
  0.03     15.86     0.01  1126354     0.00     0.00  PQueueBuryP
  0.03     15.87     0.01   780682     0.00     0.00  PQueueStoreP
  0.03     15.87     0.01   683766     0.00     0.00  EqnSubsumeInverseCompareRef
  0.03     15.88     0.01    24654     0.00     0.00  EqnSwapSides
  0.03     15.88     0.01       22     0.00     0.00  EqnIsDefinition
  0.03     15.89     0.01                             EqnCompare
  0.03     15.89     0.01                             EqnInferencePositions
  0.03     15.90     0.01                             EqnSubsumeInverseRefinedCompareRef
  0.03     15.90     0.01                             EvalPrint
  0.03     15.91     0.01                             LiteralGreater
  0.03     15.91     0.01                             PDTNodeFree
  0.03     15.92     0.01                             TermNonLinearWeight
  0.03     15.92     0.01                             tptp_eq_pred_axiom_print
  0.00     15.92     0.00 17831531     0.00     0.00  TermIsPrefix
  0.00     15.92     0.00 16995290     0.00     0.00  evals_alloc_raw
  0.00     15.92     0.00  8763105     0.00     0.00  EqnIsFalse
  0.00     15.92     0.00  7012352     0.00     0.00  collect_unmarked_termcells
  0.00     15.92     0.00  6443395     0.00     0.00  cmp_types
  0.00     15.92     0.00  5333051     0.00     0.00  SubstBacktrackToPos
  0.00     15.92     0.00  5216187     0.00     0.00  PDTreeFindNextDemodulator
  0.00     15.92     0.00  5147293     0.00     0.00  PDTreeSearchExit
  0.00     15.92     0.00  4778511     0.00     0.00  SizeFreeReal.lto_priv.364
  0.00     15.92     0.00  3917819     0.00     0.00  LiteralSymTypeWeight
  0.00     15.92     0.00  3530931     0.00     0.00  SigFixType
  0.00     15.92     0.00  3451282     0.00     0.00  PTreeObjInsert
  0.00     15.92     0.00  3451282     0.00     0.00  PTreeObjStore
  0.00     15.92     0.00  3221672     0.00     0.00  TypeFree
  0.00     15.92     0.00  2855196     0.00     0.00  compare_poseqn_negeqn.lto_priv.648
  0.00     15.92     0.00  2790041     0.00     0.00  VarBankGetStack
  0.00     15.92     0.00  2614286     0.00     0.00  DocClauseApplyDefs
  0.00     15.92     0.00  2521146     0.00     0.00  StrTreeTraverseNext
  0.00     15.92     0.00  2468540     0.00     0.00  PrioFunDeferSOS
  0.00     15.92     0.00  1975943     0.00     0.00  PStackCopy
  0.00     15.92     0.00  1924263     0.00     0.00  TermDerefAlways
  0.00     15.92     0.00  1904278     0.00     0.00  TermStructEqualNoDeref
  0.00     15.92     0.00  1904189     0.00     0.00  SecureMalloc
  0.00     15.92     0.00  1745471     0.00     0.00  TermFPSample
  0.00     15.92     0.00  1745471     0.00     0.00  TermFPSampleFO
  0.00     15.92     0.00  1615122     0.00     0.00  EqnCopyOpt
  0.00     15.92     0.00  1435744     0.00     0.00  TermLRTraversePrev
  0.00     15.92     0.00  1299657     0.00     0.00  NormSubstEqnListExcept
  0.00     15.92     0.00  1277888     0.00     0.00  EqnListFindTrue
  0.00     15.92     0.00  1272923     0.00     0.00  ClauseSetTPTPType
  0.00     15.92     0.00  1266440     0.00     0.00  EqnListDelProp
  0.00     15.92     0.00  1234327     0.00     0.00  PrioFunConstPrio
  0.00     15.92     0.00  1234270     0.00     0.00  PrioFunSimulateSOS
  0.00     15.92     0.00  1234270     0.00     0.00  prfx_init
  0.00     15.92     0.00  1208752     0.00     0.00  term_compute_top_nf
  0.00     15.92     0.00  1139133     0.00     0.00  NumTreeTraverseNext
  0.00     15.92     0.00  1126354     0.00     0.00  pqueue_bury
  0.00     15.92     0.00  1126109     0.00     0.00  ClauseMarkMaximalTerms
  0.00     15.92     0.00   964562     0.00     0.00  ClausePosGetOtherSide
  0.00     15.92     0.00   814647     0.00     0.00  SubstMguPossiblyPartial
  0.00     15.92     0.00   787237     0.00     0.00  CheckOptionLetterString
  0.00     15.92     0.00   787237     0.00     0.00  IntArrayAlloc
  0.00     15.92     0.00   780682     0.00     0.00  pqueue_store
  0.00     15.92     0.00   714949     0.00     0.00  ClausePosAlloc
  0.00     15.92     0.00   714949     0.00     0.00  UnpackClausePos
  0.00     15.92     0.00   708439     0.00     0.00  ClauseSetListGetMaxDate
  0.00     15.92     0.00   699210     0.00     0.00  ClauseCellAlloc
  0.00     15.92     0.00   698674     0.00     0.00  ClauseInfoFree
  0.00     15.92     0.00   693476     0.00     0.00  ClauseRemoveSuperfluousLiterals
  0.00     15.92     0.00   693362     0.00     0.00  ClauseComputeLINormalform
  0.00     15.92     0.00   693362     0.00     0.00  rw_desc_cell_alloc
  0.00     15.92     0.00   687105     0.00     0.00  ClausePushDerivation
  0.00     15.92     0.00   666092     0.00     0.00  VarBankResetVCounts
  0.00     15.92     0.00   663351     0.00     0.00  rewrite_with_clause_setlist
  0.00     15.92     0.00   662236     0.00     0.00  SigIsPredicate
  0.00     15.92     0.00   658063     0.00     0.00  EqnListExtractElement
  0.00     15.92     0.00   641421     0.00     0.00  ClauseParamodConstruct
  0.00     15.92     0.00   641421     0.00     0.00  ClauseSimParamodConstruct
  0.00     15.92     0.00   638639     0.00     0.00  EmptyClauseAlloc
  0.00     15.92     0.00   638148     0.00     0.00  EqnListCopyOptExcept
  0.00     15.92     0.00   637838     0.00     0.00  DocClauseCreation
  0.00     15.92     0.00   636317     0.00     0.00  eqn_list_find_last
  0.00     15.92     0.00   636317     0.00     0.00  update_clause_info
  0.00     15.92     0.00   632272     0.00     0.00  ClauseIsSemFalse
  0.00     15.92     0.00   630346     0.00     0.00  check_watchlist
  0.00     15.92     0.00   630123     0.00     0.00  ControlledClauseSplit
  0.00     15.92     0.00   620446     0.00     0.00  ClausePositiveSimplifyReflect
  0.00     15.92     0.00   617192     0.00     0.00  ClauseAddEvalCell
  0.00     15.92     0.00   617192     0.00     0.00  EvalsAlloc
  0.00     15.92     0.00   617135     0.00     0.00  ClauseRefinedWeightCompute
  0.00     15.92     0.00   617135     0.00     0.00  ClauseWeightCompute
  0.00     15.92     0.00   617135     0.00     0.00  PrioFunPreferProcessed
  0.00     15.92     0.00   617135     0.00     0.00  init_conj_vector
  0.00     15.92     0.00   617135     0.00     0.00  init_relevance_vector2
  0.00     15.92     0.00   614401     0.00     0.00  indexed_find_demodulator
  0.00     15.92     0.00   614401     0.00     0.00  rewrite_with_clause_set
  0.00     15.92     0.00   595553     0.00     0.00  EqnAddSymbolFeatures
  0.00     15.92     0.00   587250     0.00     0.00  EqnListEqnIsStrictlyMaximal
  0.00     15.92     0.00   586164     0.00     0.00  TermFree
  0.00     15.92     0.00   586110     0.00     0.00  TermCopy
  0.00     15.92     0.00   584692     0.00     0.00  ClauseNegativeSimplifyReflect
  0.00     15.92     0.00   581279     0.00     0.00  SelectMaxLComplexAvoidPosPred
  0.00     15.92     0.00   568882     0.00     0.00  term_compute_ground_NF
  0.00     15.92     0.00   498769     0.00     0.00  PDArrayFree
  0.00     15.92     0.00   488134     0.00     0.00  sim_paramod_q
  0.00     15.92     0.00   453165     0.00     0.00  EqnListDeleteElement
  0.00     15.92     0.00   444997     0.00     0.00  FormulaSetDocInital
  0.00     15.92     0.00   406907     0.00     0.00  PTreeFree
  0.00     15.92     0.00   383824     0.00     0.00  compute_from_pm_pos_clause
  0.00     15.92     0.00   357952     0.00     0.00  PTreeInsert
  0.00     15.92     0.00   357949     0.00     0.00  PTreeStore
  0.00     15.92     0.00   353454     0.00     0.00  TermTopAlloc
  0.00     15.92     0.00   341576     0.00     0.00  PQueueAlloc
  0.00     15.92     0.00   341576     0.00     0.00  PQueueFree
  0.00     15.92     0.00   338315     0.00     0.00  DStrView
  0.00     15.92     0.00   284441     0.00     0.00  ground_normalize_eqn
  0.00     15.92     0.00   278017     0.00     0.00  FreqVectorFreeReal
  0.00     15.92     0.00   278016     0.00     0.00  FreqVectorAlloc
  0.00     15.92     0.00   270977     0.00     0.00  read_char
  0.00     15.92     0.00   270593     0.00     0.00  StreamNextChar
  0.00     15.92     0.00   254103     0.00     0.00  WTFormulaConjunctiveNF3
  0.00     15.92     0.00   252196     0.00     0.00  TestTok
  0.00     15.92     0.00   249353     0.00     0.00  IndexFP7Create
  0.00     15.92     0.00   249353     0.00     0.00  IndexFPFree
  0.00     15.92     0.00   230798     0.00     0.00  NumXTreeTraverseNext
  0.00     15.92     0.00   224750     0.00     0.00  numtree_print
  0.00     15.92     0.00   220137     0.00     0.00  EqnCopy
  0.00     15.92     0.00   218752     0.00     0.00  KBO6Greater
  0.00     15.92     0.00   218752     0.00     0.00  TOGreater
  0.00     15.92     0.00   207260     0.00     0.00  NumTreeFind
  0.00     15.92     0.00   204549     0.00     0.00  EqnListInsertElement
  0.00     15.92     0.00   197944     0.00     0.00  DStrReset
  0.00     15.92     0.00   197799     0.00     0.00  SubtermOccAlloc
  0.00     15.92     0.00   190480     0.00     0.00  ClauseSetUnfoldEqDefNormalize
  0.00     15.92     0.00   180995     0.00     0.00  SubtermOccFree
  0.00     15.92     0.00   171375     0.00     0.00  FPIndexInsert
  0.00     15.92     0.00   171375     0.00     0.00  SubtermTreeInsertTerm
  0.00     15.92     0.00   139035     0.00     0.00  EqnListAddSymbolFeatures
  0.00     15.92     0.00   139035     0.00     0.00  RegMemProvide
  0.00     15.92     0.00   131144     0.00     0.00  ClauseSortLiterals
  0.00     15.92     0.00   129892     0.00     0.00  EqnListFromArray
  0.00     15.92     0.00   126968     0.00     0.00  term_collect_idx_subterms
  0.00     15.92     0.00   115300     0.00     0.00  PStackGrow
  0.00     15.92     0.00   113386     0.00     0.00  SubtermIndexInsertOcc
  0.00     15.92     0.00   112152     0.00     0.00  clause_tree_find_subsumed_clauses
  0.00     15.92     0.00   110506     0.00     0.00  TBInsertDisjoint
  0.00     15.92     0.00   110119     0.00     0.00  ClauseFlipLiteralSign
  0.00     15.92     0.00   105139     0.00     0.00  TO_ground_compare
  0.00     15.92     0.00   105139     0.00     0.00  ground_orient_eqn
  0.00     15.92     0.00   100883     0.00     0.00  TermComputeRWSequence
